"Year","Quantity","Model","Value"
1998,"Age-1 recruitment","Model 26.0",14874.188337645
1999,"Age-1 recruitment","Model 26.0",16129.311930025
2000,"Age-1 recruitment","Model 26.0",24679.909979727
2001,"Age-1 recruitment","Model 26.0",34466.484729209
2002,"Age-1 recruitment","Model 26.0",23035.815664057
2003,"Age-1 recruitment","Model 26.0",14406.9360851054
2004,"Age-1 recruitment","Model 26.0",6566.0983939321
2005,"Age-1 recruitment","Model 26.0",4652.85254025238
2006,"Age-1 recruitment","Model 26.0",11590.9403859681
2007,"Age-1 recruitment","Model 26.0",25036.384447938
2008,"Age-1 recruitment","Model 26.0",13590.6800784302
2009,"Age-1 recruitment","Model 26.0",49683.6589781433
2010,"Age-1 recruitment","Model 26.0",23227.9455101692
2011,"Age-1 recruitment","Model 26.0",14247.958464785
2012,"Age-1 recruitment","Model 26.0",12316.7753550143
2013,"Age-1 recruitment","Model 26.0",43507.8052051937
2014,"Age-1 recruitment","Model 26.0",49730.0737830813
2015,"Age-1 recruitment","Model 26.0",21299.535346045
2016,"Age-1 recruitment","Model 26.0",8098.86567790033
2017,"Age-1 recruitment","Model 26.0",8186.02613667922
2018,"Age-1 recruitment","Model 26.0",17125.1008813844
2019,"Age-1 recruitment","Model 26.0",83582.6962387013
2020,"Age-1 recruitment","Model 26.0",20796.3250684703
2021,"Age-1 recruitment","Model 26.0",10865.1985369415
2022,"Age-1 recruitment","Model 26.0",10564.0157533712
2023,"Age-1 recruitment","Model 26.0",14495.2388593378
2024,"Age-1 recruitment","Model 26.0",15784.6839550959
1964,"Age-1 recruitment","Model 23.2 bridge",5636.8
1965,"Age-1 recruitment","Model 23.2 bridge",23209.7
1966,"Age-1 recruitment","Model 23.2 bridge",15914.6
1967,"Age-1 recruitment","Model 23.2 bridge",27575.8
1968,"Age-1 recruitment","Model 23.2 bridge",22791.9
1969,"Age-1 recruitment","Model 23.2 bridge",26696.1
1970,"Age-1 recruitment","Model 23.2 bridge",23743.8
1971,"Age-1 recruitment","Model 23.2 bridge",13862.9
1972,"Age-1 recruitment","Model 23.2 bridge",10979.4
1973,"Age-1 recruitment","Model 23.2 bridge",26755.2
1974,"Age-1 recruitment","Model 23.2 bridge",19132.5
1975,"Age-1 recruitment","Model 23.2 bridge",16192.3
1976,"Age-1 recruitment","Model 23.2 bridge",12715.1
1977,"Age-1 recruitment","Model 23.2 bridge",13752.7
1978,"Age-1 recruitment","Model 23.2 bridge",26144.2
1979,"Age-1 recruitment","Model 23.2 bridge",61947.6
1980,"Age-1 recruitment","Model 23.2 bridge",29628.9
1981,"Age-1 recruitment","Model 23.2 bridge",33803.5
1982,"Age-1 recruitment","Model 23.2 bridge",18899.3
1983,"Age-1 recruitment","Model 23.2 bridge",51921.6
1984,"Age-1 recruitment","Model 23.2 bridge",14220.2
1985,"Age-1 recruitment","Model 23.2 bridge",32605.8
1986,"Age-1 recruitment","Model 23.2 bridge",12641.7
1987,"Age-1 recruitment","Model 23.2 bridge",7211.74
1988,"Age-1 recruitment","Model 23.2 bridge",5593.01
1989,"Age-1 recruitment","Model 23.2 bridge",11766.2
1990,"Age-1 recruitment","Model 23.2 bridge",50197.4
1991,"Age-1 recruitment","Model 23.2 bridge",27176
1992,"Age-1 recruitment","Model 23.2 bridge",23491.1
1993,"Age-1 recruitment","Model 23.2 bridge",45856.6
1994,"Age-1 recruitment","Model 23.2 bridge",15800.6
1995,"Age-1 recruitment","Model 23.2 bridge",11084.1
1996,"Age-1 recruitment","Model 23.2 bridge",22565
1997,"Age-1 recruitment","Model 23.2 bridge",30200.7
1998,"Age-1 recruitment","Model 23.2 bridge",14871.1
1999,"Age-1 recruitment","Model 23.2 bridge",16123.6
2000,"Age-1 recruitment","Model 23.2 bridge",24641
2001,"Age-1 recruitment","Model 23.2 bridge",34449.2
2002,"Age-1 recruitment","Model 23.2 bridge",23004
2003,"Age-1 recruitment","Model 23.2 bridge",14395.1
2004,"Age-1 recruitment","Model 23.2 bridge",6555.87
2005,"Age-1 recruitment","Model 23.2 bridge",4652.33
2006,"Age-1 recruitment","Model 23.2 bridge",11590.3
2007,"Age-1 recruitment","Model 23.2 bridge",25036.3
2008,"Age-1 recruitment","Model 23.2 bridge",13592.7
2009,"Age-1 recruitment","Model 23.2 bridge",49676.2
2010,"Age-1 recruitment","Model 23.2 bridge",23193.3
2011,"Age-1 recruitment","Model 23.2 bridge",14236.2
2012,"Age-1 recruitment","Model 23.2 bridge",12268.9
2013,"Age-1 recruitment","Model 23.2 bridge",43402.1
2014,"Age-1 recruitment","Model 23.2 bridge",49666
2015,"Age-1 recruitment","Model 23.2 bridge",21683.2
2016,"Age-1 recruitment","Model 23.2 bridge",8262.46
2017,"Age-1 recruitment","Model 23.2 bridge",8197.56
2018,"Age-1 recruitment","Model 23.2 bridge",16803.5
2019,"Age-1 recruitment","Model 23.2 bridge",81208.2
2020,"Age-1 recruitment","Model 23.2 bridge",20226.3
2021,"Age-1 recruitment","Model 23.2 bridge",10797.5
2022,"Age-1 recruitment","Model 23.2 bridge",10520.6
2023,"Age-1 recruitment","Model 23.2 bridge",15791
2024,"Age-1 recruitment","Model 23.2 bridge",16606.3
1964,"Total biomass","Model 26.0",4713.54127369633
1965,"Total biomass","Model 26.0",5088.60349549152
1966,"Total biomass","Model 26.0",5309.91119970155
1967,"Total biomass","Model 26.0",6049.7234273398
1968,"Total biomass","Model 26.0",6695.09110460443
1969,"Total biomass","Model 26.0",7283.36789170734
1970,"Total biomass","Model 26.0",7988.66852048782
1971,"Total biomass","Model 26.0",7920.36876064456
1972,"Total biomass","Model 26.0",7190.2652918406
1973,"Total biomass","Model 26.0",6449.15204227572
1974,"Total biomass","Model 26.0",5419.62722522438
1975,"Total biomass","Model 26.0",4649.41200847056
1976,"Total biomass","Model 26.0",4242.46894077309
1977,"Total biomass","Model 26.0",3968.54654152988
1978,"Total biomass","Model 26.0",4231.78437061717
1979,"Total biomass","Model 26.0",5432.33191518452
1980,"Total biomass","Model 26.0",6186.0951027763
1981,"Total biomass","Model 26.0",7700.53187308036
1982,"Total biomass","Model 26.0",9295.94731590317
1983,"Total biomass","Model 26.0",10646.7822571834
1984,"Total biomass","Model 26.0",10380.0018958882
1985,"Total biomass","Model 26.0",12234.4637462911
1986,"Total biomass","Model 26.0",11065.7909060193
1987,"Total biomass","Model 26.0",10670.3298283546
1988,"Total biomass","Model 26.0",9607.96423637365
1989,"Total biomass","Model 26.0",8173.98573060106
1990,"Total biomass","Model 26.0",7820.11459556172
1991,"Total biomass","Model 26.0",8914.29766156307
1992,"Total biomass","Model 26.0",9819.51557580279
1993,"Total biomass","Model 26.0",10420.8974712639
1994,"Total biomass","Model 26.0",10617.7321693179
1995,"Total biomass","Model 26.0",8876.82056020935
1996,"Total biomass","Model 26.0",9267.98562905818
1997,"Total biomass","Model 26.0",8654.17725017381
1998,"Total biomass","Model 26.0",8809.66289016045
1999,"Total biomass","Model 26.0",8872.90900676027
2000,"Total biomass","Model 26.0",9192.93324855298
2001,"Total biomass","Model 26.0",9053.99415323545
2002,"Total biomass","Model 26.0",9500.67173584833
2003,"Total biomass","Model 26.0",10790.714143623
2004,"Total biomass","Model 26.0",9973.58679104327
2005,"Total biomass","Model 26.0",8227.47339419666
2006,"Total biomass","Model 26.0",6946.60680039035
2007,"Total biomass","Model 26.0",6366.18719013696
2008,"Total biomass","Model 26.0",5045.03950984578
2009,"Total biomass","Model 26.0",6013.19817972243
2010,"Total biomass","Model 26.0",7935.48309294927
2011,"Total biomass","Model 26.0",8760.74784947201
2012,"Total biomass","Model 26.0",8893.49778610239
2013,"Total biomass","Model 26.0",9681.21176427506
2014,"Total biomass","Model 26.0",10539.4879779937
2015,"Total biomass","Model 26.0",11632.5625725174
2016,"Total biomass","Model 26.0",12665.1699955727
2017,"Total biomass","Model 26.0",11687.2778834389
2018,"Total biomass","Model 26.0",10138.762374199
2019,"Total biomass","Model 26.0",10871.0042646151
2020,"Total biomass","Model 26.0",11508.5707103097
2021,"Total biomass","Model 26.0",11201.673460601
2022,"Total biomass","Model 26.0",12210.5619148794
2023,"Total biomass","Model 26.0",10880.7201206255
2024,"Total biomass","Model 26.0",9624.30470407444
1964,"Total biomass","Model 23.2 bridge",5156.43798647053
1965,"Total biomass","Model 23.2 bridge",5499.13776979753
1966,"Total biomass","Model 23.2 bridge",5668.88694965484
1967,"Total biomass","Model 23.2 bridge",6365.82146635976
1968,"Total biomass","Model 23.2 bridge",6969.11607087975
