ParName   Value   Gradient
sel_devs_fsh(9,9)    -0.021164 -5.54705e-05
sel_devs_fsh(9,10)   -0.0250131 -2.94561e-05
sel_devs_fsh(9,11)   -0.0324908  0.000215585
sel_devs_fsh(9,12)   -0.0485105 -0.000194636
sel_devs_fsh(10,1)    -0.193841  8.37278e-06
sel_devs_fsh(10,2)    -0.174947  4.84157e-06
sel_devs_fsh(10,3)     0.130675 -5.60047e-05
sel_devs_fsh(10,4)    0.0807704  6.10631e-05
sel_devs_fsh(10,5)    0.0443154  1.75768e-05
sel_devs_fsh(10,6)    0.0369596 -0.000305356
sel_devs_fsh(10,7)     0.034901  0.000202613
sel_devs_fsh(10,8)  -0.00331097  0.000119711
sel_devs_fsh(10,9)   0.00567801   9.5274e-06
sel_devs_fsh(10,10)    0.0129623 -0.000236091
sel_devs_fsh(10,11)    0.0128457  0.000259048
sel_devs_fsh(10,12)    0.0129925  -8.7404e-05
sel_devs_fsh(11,1)     -0.19248 -1.26749e-05
sel_devs_fsh(11,2)   -0.0721697 -2.29624e-05
sel_devs_fsh(11,3)   -0.0840462 -9.29479e-05
sel_devs_fsh(11,4)    0.0901256  3.61867e-05
sel_devs_fsh(11,5)    0.0755159  2.67241e-05
sel_devs_fsh(11,6)    0.0630735 -0.000292198
sel_devs_fsh(11,7)    0.0563322   0.00028713
sel_devs_fsh(11,8)    0.0155021   0.00015412
sel_devs_fsh(11,9)    0.0118849   1.2055e-05
sel_devs_fsh(11,10)    0.0131446 -9.31334e-05
sel_devs_fsh(11,11)    0.0124219  0.000164737
sel_devs_fsh(11,12)    0.0106955 -0.000162236
sel_devs_fsh(12,1)    -0.182685  2.86821e-05
sel_devs_fsh(12,2)    0.0178836 -6.69763e-05
sel_devs_fsh(12,3)    -0.132281 -7.40598e-05
sel_devs_fsh(12,4)   -0.0528105  5.23199e-05
sel_devs_fsh(12,5)    0.0576601  3.97549e-05
sel_devs_fsh(12,6)    0.0618945 -0.000289848
sel_devs_fsh(12,7)    0.0606813  0.000233819
sel_devs_fsh(12,8)    0.0358377  0.000156257
sel_devs_fsh(12,9)    0.0283125  6.44573e-05
sel_devs_fsh(12,10)    0.0340732 -0.000170249
