year,age,original_proportion,tinyvast_proportion,percent_change,direction
1992,9,0.041759504,0.041430521,-0.7878038972876806,Decrease
1992,10,0.077210314,0.076506373,-0.9117188669897127,Decrease
1992,11,0.026592657,0.026574125,-0.06968841060146111,Decrease
1992,12,0.03305202,0.033490625,1.3270142036704613,Increase
1992,13,0.0140997,0.014433389,2.3666390065036835,Increase
1992,14,0.011100098,0.011410075,2.792560930543147,Increase
1992,15,0.008884871,0.00917288,3.2415664785678797,Increase
1993,1,0.186788914,0.190540752,2.008597790766109,Increase
1993,2,0.030835751,0.03074679,-0.28849954067926536,Decrease
1993,3,0.080129276,0.079714351,-0.5178194796119168,Decrease
1993,4,0.356825078,0.35361661,-0.8991711059052917,Decrease
1993,5,0.074240503,0.073708376,-0.7167610381087981,Decrease
1993,6,0.056441763,0.056260994,-0.3202752543360442,Decrease
1993,7,0.028196391,0.02814683,-0.17577072186295065,Decrease
1993,8,0.036964895,0.037043751,0.21332672526190632,Increase
1993,9,0.046821898,0.046931371,0.23380726684765923,Increase
1993,10,0.028587194,0.02869248,0.36829777696964444,Increase
1993,11,0.024725628,0.024725697,2.790626794265665e-4,Increase
1993,12,0.01792678,0.017966676,0.22254972727952857,Increase
1993,13,0.014287665,0.014375609,0.6155239502045963,Increase
1993,14,0.007793894,0.007905866,1.4366631108916703,Increase
1993,15,0.009434371,0.009623848,2.0083691853966776,Increase
1994,1,0.117588755,0.125673159,6.87515060432437,Increase
1994,2,0.052301439,0.052434488,0.25438879415918775,Increase
1994,3,0.038360544,0.038792234,1.1253490044353867,Increase
1994,4,0.148918632,0.148208037,-0.47716997561460833,Decrease
1994,5,0.433633513,0.423570948,-2.3205229066324544,Decrease
1994,6,0.070507631,0.069731732,-1.1004468438316932,Decrease
1994,7,0.016943469,0.016817459,-0.7437083869896969,Decrease
1994,8,0.013066975,0.013130817,0.4885752058146566,Increase
1994,9,0.014129594,0.014391512,1.8536838355015712,Increase
1994,10,0.026103325,0.026565856,1.7719236917135983,Increase
1994,11,0.015927906,0.016268492,2.1382974008008357,Increase
1994,12,0.022029922,0.022600791,2.5913346402225037,Increase
1994,13,0.008397523,0.008701376,3.61836460584865,Increase
1994,14,0.008235866,0.008577665,4.150128231809506,Increase
1994,15,0.013854906,0.014535433,4.9118124655627415,Increase
1995,1,0.102348001,0.110644993,8.106647827933644,Increase
1995,2,0.013690206,0.014044839,2.5904139061165337,Increase
1995,3,0.030166835,0.031044832,2.9104710520676162,Increase
1995,4,0.126825457,0.13285552,4.754615628942699,Increase
1995,5,0.185281022,0.18229648,-1.6108190508577716,Decrease
1995,6,0.323015696,0.307237289,-4.8847183574633455,Decrease
1995,7,0.118472079,0.11507488,-2.8675102426454337,Decrease
1995,8,0.0256081,0.026247724,2.4977409491528006,Increase
1995,9,0.014885333,0.015547756,4.4501725288913505,Increase
1995,10,0.009367384,0.010052991,7.3190871645701865,Increase
1995,11,0.017204655,0.018487874,7.458557000997708,Increase
1995,12,0.006968934,0.007606737,9.152088396876756,Increase
1995,13,0.012755111,0.013993405,9.708218140947585,Increase
1995,14,0.005197694,0.005723064,10.107751629857392,Increase
1995,15,0.008213493,0.009141617,11.2999913678626,Increase
1996,1,0.242778292,0.246550562,1.5537921322883326,Increase
1996,2,0.053284192,0.054182765,1.6863782038770518,Increase
1996,3,0.02486424,0.024604081,-1.0463179248591528,Decrease
1996,4,0.050889782,0.050663091,-0.44545484592565376,Decrease
1996,5,0.141501156,0.140499217,-0.7080783142153125,Decrease
1996,6,0.187814677,0.185821459,-1.0612684971366848,Decrease
1996,7,0.160482236,0.159554037,-0.5783811486774092,Decrease
1996,8,0.052894514,0.052405439,-0.9246232983632264,Decrease
1996,9,0.012799052,0.012611674,-1.463999052429822,Decrease
1996,10,0.013851034,0.013773876,-0.557055884780882,Decrease
1996,11,0.009250123,0.009214088,-0.38956238744068844,Decrease
1996,12,0.017673124,0.017569112,-0.5885320557927228,Decrease
1996,13,0.005935034,0.00599761,1.0543494780316331,Increase
1996,14,0.010628865,0.010760513,1.2385894448748747,Increase
1996,15,0.015353679,0.015792476,2.857927406193652,Increase
1997,1,0.225606079,0.228005419,1.063508576823411,Increase
1997,2,0.039240538,0.038937375,-0.7725760538757017,Decrease
1997,3,0.021308561,0.021470819,0.7614685947117614,Increase
1997,4,0.025986664,0.026290028,1.1673833932666402,Increase
1997,5,0.29775923,0.296213596,-0.5190885266595976,Decrease
1997,6,0.136560788,0.137088607,0.38650846097930597,Increase
1997,7,0.080205869,0.079981003,-0.2803610294403819,Decrease
1997,8,0.103155818,0.101520064,-1.5857118209270593,Decrease
1997,9,0.017820623,0.017429068,-2.1972015232015276,Decrease
1997,10,0.008969193,0.008810134,-1.773392544903422,Decrease
1997,11,0.006507358,0.006465461,-0.6438404034325576,Decrease
1997,12,0.00697623,0.00695813,-0.25945245497926617,Decrease
1997,13,0.011884535,0.012083295,1.6724255513572972,Increase
1997,14,0.003806627,0.00392591,3.1335615493716724,Increase
1997,15,0.014211886,0.01482109,4.286580964693921,Increase
1998,1,0.112740941,0.115758541,2.6765786884819502,Increase
1998,2,0.089084118,0.090822522,1.9514185457838835,Increase
1998,3,0.048015711,0.047616511,-0.8313945408410225,Decrease
1998,4,0.034517466,0.03387865,-1.8507036408755888,Decrease
1998,5,0.072045496,0.07097242,-1.4894421713746078,Decrease
1998,6,0.3957568,0.39313551,-0.6623486949560938,Decrease
1998,7,0.101431738,0.100716481,-0.7051609428204779,Decrease
1998,8,0.061401124,0.061259161,-0.23120586522162345,Decrease
1998,9,0.046622259,0.046775455,0.32858982658905755,Increase
1998,10,0.011984343,0.01208335,0.826136234585408,Increase
1998,11,0.005287323,0.005332079,0.8464775085615152,Increase
1998,12,0.001810501,0.001820046,0.5272021390764284,Increase
1998,13,0.004125995,0.004217626,2.2208218865994747,Increase
1998,14,0.004444947,0.004507065,1.3974969780292068,Increase
1998,15,0.010731237,0.011104582,3.4790490602341615,Increase
1999,1,0.087541806,0.092843999,6.056755328991039,Increase
1999,2,0.098255505,0.096860292,-1.4199845596437637,Decrease
1999,3,0.114563342,0.100950561,-11.882318342284398,Decrease
1999,4,0.108944111,0.103639342,-4.869257228598617,Decrease
1999,5,0.060468307,0.05914753,-2.1842466996802177,Decrease
1999,6,0.111285506,0.110067075,-1.0948694432858181,Decrease
1999,7,0.260459175,0.268305885,3.0126448799509693,Increase
1999,8,0.066829356,0.069857549,4.531231753901681,Increase
1999,9,0.031807083,0.033662344,5.832854902161248,Increase
1999,10,0.029382881,0.0313142,6.572939528972673,Increase
1999,11,0.010984316,0.011752792,6.996120650571238,Increase
1999,12,0.004655246,0.005013532,7.696392414063621,Increase
1999,13,0.001900124,0.002081662,9.55400805421121,Increase
1999,14,0.002809239,0.0031137029999999998,10.837952911802804,Increase
1999,15,0.010114003,0.011389534,12.611534720723336,Increase
2000,1,0.076219363,0.07536091,-1.1262925406500643,Decrease
2000,2,0.027393587,0.026992694,-1.463455662086164,Decrease
2000,3,0.050406497,0.050327348,-0.15702142523413318,Decrease
2000,4,0.15683725,0.156862781,0.016278658290677313,Increase
2000,5,0.157531993,0.158178884,0.41064103086665243,Increase
2000,6,0.087459211,0.087756003,0.33934904809512184,Increase
2000,7,0.069562345,0.069411372,-0.21703264891371718,Decrease
2000,8,0.211158921,0.212942358,0.8445946737907412,Increase
2000,9,0.079959715,0.079496991,-0.5786964098108625,Decrease
2000,10,0.041731859,0.041086956,-1.5453493217256442,Decrease
2000,11,0.017868423,0.017619419,-1.3935421161677255,Decrease
2000,12,0.011439,0.011309493,-1.1321531602412729,Decrease
2000,13,0.003585345,0.003599847,0.4044799036076027,Increase
2000,14,0.001625011,0.001645366,1.2526069054301856,Increase
2000,15,0.007221479,0.007409577,2.6047018900144887,Increase
2001,1,0.17454973,0.174303454,-0.14109216897670923,Decrease
2001,2,0.10739353,0.107227485,-0.1546135972995799,Decrease
2001,3,0.063765517,0.062427233,-2.098758173637948,Decrease
2001,4,0.061744342,0.062792297,1.6972486321094753,Increase
2001,5,0.148415039,0.148675866,0.1757416241355374,Increase
2001,6,0.145487243,0.145836693,0.24019288069126526,Increase
2001,7,0.060611956,0.060527456,-0.1394114388916953,Decrease
2001,8,0.029456284,0.029467233,0.03717033689653346,Increase
2001,9,0.087469666,0.086788935,-0.7782480843130278,Decrease
2001,10,0.062513918,0.062023146,-0.7850603764748842,Decrease
2001,11,0.023814447,0.023732975,-0.3421116602035693,Decrease
2001,12,0.018569051,0.018692137,0.6628556300480914,Increase
2001,13,0.006438343,0.007212646,12.026432888089367,Increase
2001,14,0.002669937,0.002655343,-0.5466046577128868,Decrease
2001,15,0.007100997,0.007637102,7.549714497837407,Increase
2002,1,0.125005502,0.120649533,-3.484621820885922,Decrease
2002,2,0.03619245,0.036163806,-0.07914357828774034,Decrease
2002,3,0.072918858,0.072898372,-0.028094241410089163,Decrease
2002,4,0.113649135,0.111278743,-2.085710551162575,Decrease
2002,5,0.12536943,0.126592621,0.9756692680185151,Increase
2002,6,0.162427014,0.164135563,1.0518872187110473,Increase
2002,7,0.08107718,0.081790741,0.8801009112551786,Increase
2002,8,0.039197489,0.039469931,0.695049624224648,Increase
2002,9,0.052471601,0.05275532,0.540709630720057,Increase
2002,10,0.097871585,0.098695965,0.8423078056823128,Increase
2002,11,0.048783234,0.049338552,1.1383378149960273,Increase
2002,12,0.02244205,0.022898628,2.0344754601295296,Increase
2002,13,0.013375382,0.013645895,2.022469339567274,Increase
2002,14,0.004223012,0.004397077,4.121821107778054,Increase
2002,15,0.004996078,0.005289252,5.868082924245782,Increase
2003,1,0.039939214,0.039232249,-1.770102436167131,Decrease
2003,2,0.011551172,0.011891316,2.94467089573249,Increase
2003,3,0.074211623,0.07950895,7.138136569254105,Increase
2003,4,0.127244436,0.130393406,2.474740820887446,Increase
2003,5,0.150343542,0.14741955,-1.9448736946745517,Decrease
2003,6,0.125291803,0.124659978,-0.5042827901518845,Decrease
2003,7,0.157187854,0.155627571,-0.992623132319114,Decrease
2003,8,0.081190765,0.079896273,-1.594383302091062,Decrease
2003,9,0.033835001,0.033073831,-2.249652659977771,Decrease
2003,10,0.044231799,0.043511823,-1.6277339296102429,Decrease
2003,11,0.086120367,0.085019685,-1.2780739775528425,Decrease
2003,12,0.038963145,0.039038229,0.1927051833213234,Increase
2003,13,0.016150556,0.016345836,1.209122459932643,Increase
2003,14,0.006645315,0.006833904,2.8379241616085964,Increase
2003,15,0.007093409,0.007547399,6.400166689951187,Increase
2004,1,0.049519433,0.049407673,-0.22568917539908506,Decrease
2004,2,0.033183447,0.033044245,-0.41949228481296114,Decrease
2004,3,0.023535896,0.023553879,0.07640669384330723,Increase
2004,4,0.20131091,0.199870514,-0.7155081659508719,Decrease
2004,5,0.198120721,0.198240604,0.060510076581029255,Increase
2004,6,0.14684351,0.146975279,0.08973430286430502,Increase
2004,7,0.081976857,0.082119149,0.1735758178677211,Increase
2004,8,0.086580198,0.086687937,0.12443838486025346,Increase
2004,9,0.042838847,0.042736026,-0.24001813120693,Decrease
2004,10,0.027034922,0.027048367,0.04973197259456054,Increase
2004,11,0.027051619,0.027113651,0.22930975037020912,Increase
2004,12,0.049581712,0.049986235,0.8158713841910036,Increase
2004,13,0.021977002,0.022309054,1.5109067196699502,Increase
2004,14,0.005681317,0.005915513,4.122213212183018,Increase
2004,15,0.004763609,0.004991873,4.791829052300466,Increase
2005,1,0.039040827,0.038153202,-2.273581448466763,Decrease
2005,2,0.014366841,0.014796832,2.9929404800957937,Increase
2005,3,0.02142147,0.023970717,11.900429802436516,Increase
2005,4,0.107579835,0.116333871,8.137246166997754,Increase
