Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B,Date,cm,N,B
11/15/97,31,96.66254876,19.64143353,10/15/98,31,25.61597232,5.200053652,10/15/99,31,13.2504615,2.86154051,9/15/00,31,8.104104,1.872606877,11/15/01,31,6.199109,1.33874594,7/15/02,31,3.503169,0.707624,8/15/02,31,29.26561404,5.99359607,8/15/03,31,100.5579054,21.30728367,9/15/03,31,138.2464455,29.29313433,7/15/05,31,103.173823,21.00862,7/15/07,31,0.3223064,0.0546802,9/15/07,31,0.040324,0.007133,9/15/08,31,89.845319,18.513876,9/15/09,31,4.701416,0.9460276,9/15/10,31,26.109369,5.422549
11/15/97,32,56.48323907,12.61728898,10/15/98,32,36.86189687,8.220429141,10/15/99,32,15.47066924,3.676309198,9/15/00,32,7.967877,2.024859267,11/15/01,32,4.368566,1.038106311,7/15/02,32,1.28028,0.284846,8/15/02,32,24.15886839,5.45529171,8/15/03,32,163.1472481,38.06632892,9/15/03,32,129.165342,30.13750125,7/15/05,32,117.628168,26.15949,7/15/07,32,2.269317,0.4729485,9/15/07,32,0,0,9/15/08,32,72.929122,16.501649,9/15/09,32,3.8439861,0.8535182,9/15/10,32,17.966146,4.00423
11/15/97,33,45.73276936,11.2146491,10/15/98,33,43.85628115,10.74486115,10/15/99,33,12.49256214,3.256944129,9/15/00,33,4.222827,1.176778777,11/15/01,33,3.109346,0.81063965,7/15/02,33,4.908331,1.199445,8/15/02,33,13.17232546,3.26890123,8/15/03,33,219.1664389,56.14315164,9/15/03,33,230.4463546,59.03269086,7/15/05,33,109.339568,26.485452,7/15/07,33,1.5167222,0.3419804,9/15/07,33,0,0,9/15/08,33,93.493953,23.152988,9/15/09,33,2.5795893,0.6304126,9/15/10,33,10.513349,2.570112
11/15/97,34,26.14104135,7.021780584,10/15/98,34,41.51717099,11.16677214,10/15/99,34,11.10179377,3.166692968,9/15/00,34,4.728923,1.441111923,11/15/01,34,3.181404,0.907468638,7/15/02,34,1.552783,0.41554,8/15/02,34,14.41079083,3.91767333,8/15/03,34,228.9870871,64.22206279,9/15/03,34,330.8726751,92.79704801,7/15/05,34,95.108291,25.029474,7/15/07,34,0.8970759,0.226908,9/15/07,34,0,0,9/15/08,34,59.675449,16.142837,9/15/09,34,2.4505983,0.6569022,9/15/10,34,4.755143,1.210727
11/15/97,35,33.73923442,9.885031525,10/15/98,35,38.66467471,11.32872329,10/15/99,35,6.889170882,2.144379318,9/15/00,35,4.36229,1.449999533,11/15/01,35,3.816503,1.187955741,7/15/02,35,1.150142,0.336201,8/15/02,35,6.74334054,2.0002898,8/15/03,35,231.1310314,70.78500702,9/15/03,35,313.6719968,96.06358073,7/15/05,35,78.853871,22.491436,7/15/07,35,1.318113,0.3647262,9/15/07,35,0.653102,0.181314,9/15/08,35,37.126255,10.987452,9/15/09,35,1.5652633,0.4593408,9/15/10,35,7.593932,2.199893
11/15/97,36,26.4043194,8.421369594,10/15/98,36,30.62936134,9.770758555,10/15/99,36,4.73152317,1.603205188,9/15/00,36,4.570913,1.653147203,11/15/01,36,3.237073,1.096833312,7/15/02,36,0.774059,0.246545,8/15/02,36,4.76761578,1.54438516,8/15/03,36,176.9099876,59.01584939,9/15/03,36,302.9883457,101.0746472,7/15/05,36,72.427328,22.339343,7/15/07,36,1.3811566,0.4145836,9/15/07,36,0,0,9/15/08,36,38.595382,12.355671,9/15/09,36,1.7749787,0.5677781,9/15/10,36,8.490997,2.696748
11/15/97,37,28.93563189,10.02938575,10/15/98,37,20.57684863,7.14024087,10/15/99,37,5.286866567,1.94549519,9/15/00,37,4.549702,1.78625059,11/15/01,37,3.268251,1.20267204,7/15/02,37,0.972506,0.336697,8/15/02,37,4.36228069,1.53639428,8/15/03,37,129.6740526,47.00945353,9/15/03,37,212.0704747,76.87981459,7/15/05,37,108.037205,35.957268,7/15/07,37,1.4926767,0.4755931,9/15/07,37,0,0,9/15/08,37,14.551583,5.090448,9/15/09,37,1.3187841,0.4580111,9/15/10,37,6.795493,2.236778
11/15/97,38,24.16814741,9.065516028,10/15/98,38,17.5022235,6.563358553,10/15/99,38,6.208850893,2.475886715,9/15/00,38,5.227797,2.223198325,11/15/01,38,3.463595,1.381168431,7/15/02,38,1.177931,0.442342,8/15/02,38,3.54644788,1.35437909,8/15/03,38,91.15221408,35.83042384,9/15/03,38,136.0028787,53.46047639,7/15/05,38,74.809395,26.812155,7/15/07,38,1.330622,0.4247629,9/15/07,38,2.612348,0.92772,9/15/08,38,3.164757,1.21976,9/15/09,38,0.5718193,0.2149994,9/15/10,38,7.568512,2.86108
11/15/97,39,33.5951707,13.63509975,10/15/98,39,15.07256172,6.119743543,10/15/99,39,4.657469488,2.008403673,9/15/00,39,3.140766,1.443755751,11/15/01,39,2.734371,1.179121146,7/15/02,39,1.658686,0.674188,8/15/02,39,3.15861916,1.30880185,8/15/03,39,41.91065382,17.82578259,9/15/03,39,90.70419799,38.57905248,7/15/05,39,89.033498,34.297045,7/15/07,39,2.9163387,1.0794127,9/15/07,39,9.285524,2.659526,9/15/08,39,0,0,9/15/09,39,0.9433011,0.3836583,9/15/10,39,8.816552,3.370315
11/15/97,40,36.16734982,15.84023084,10/15/98,40,15.24770175,6.678411973,10/15/99,40,5.253567893,2.444986152,9/15/00,40,2.96172,1.468740413,11/15/01,40,2.594994,1.207698182,7/15/02,40,1.336432,0.586749,8/15/02,40,4.13403978,1.85122494,8/15/03,40,60.44539841,27.76258777,9/15/03,40,55.12763977,25.32013979,7/15/05,40,69.025812,28.526531,7/15/07,40,3.1589471,1.2470637,9/15/07,40,3.918558,1.622754,9/15/08,40,1.054924,0.474122,9/15/09,40,0.2154186,0.0908509,9/15/10,40,16.539314,7.157508
11/15/97,41,36.53326602,17.23984944,10/15/98,41,16.07915784,7.589364894,10/15/99,41,4.139821624,2.075424128,9/15/00,41,1.873666,1.000512766,11/15/01,41,3.358849,1.683897735,7/15/02,41,1.285644,0.608491,8/15/02,41,4.5601546,2.2059684,8/15/03,41,34.57974737,17.11854895,9/15/03,41,48.39693956,23.95868801,7/15/05,41,47.780316,21.147863,7/15/07,41,4.9886958,2.0894005,9/15/07,41,4.571624,2.038607,9/15/08,41,10.331919,4.881408,9/15/09,41,0.0624966,0.0281869,9/15/10,41,7.137515,3.179843
