"Fleet","Model","Year","Age","Selectivity","Relative_selectivity"
"Fishery","Model 23.2",1976,2,0.291121,0.228480724555786
"Fishery","Model 23.2",1976,3,1.19118,0.934874741005839
"Fishery","Model 23.2",1976,4,1.27416,1
"Fishery","Model 23.2",1976,5,1.20046,0.942157970741508
"Fishery","Model 23.2",1976,6,1.15352,0.905318013436303
"Fishery","Model 23.2",1976,7,1.12745,0.884857474728449
"Fishery","Model 23.2",1976,8,1.11321,0.873681484271991
"Fishery","Model 23.2",1976,9,1.10439,0.866759276699943
"Fishery","Model 23.2",1976,10,1.09874,0.862324982733723
"Fishery","Model 23.2",1976,11,1.09243,0.857372700445784
"Fishery","Model 23.2",1976,12,1.08515,0.851659132291078
"Fishery","Model 23.2",1976,13,1.08515,0.851659132291078
"Fishery","Model 23.2",1976,14,1.08515,0.851659132291078
"Fishery","Model 23.2",1976,15,1.08515,0.851659132291078
"Fishery","Model 23.2",1977,1,0.0101334,0.00858311734512375
"Fishery","Model 23.2",1977,2,0.27486,0.23280987955481
"Fishery","Model 23.2",1977,3,0.948164,0.803106842167675
"Fishery","Model 23.2",1977,4,1.14575,0.970464671105013
"Fishery","Model 23.2",1977,5,1.18062,1
"Fishery","Model 23.2",1977,6,1.15494,0.978248716775931
"Fishery","Model 23.2",1977,7,1.13725,0.963265064118853
"Fishery","Model 23.2",1977,8,1.12969,0.956861648964104
"Fishery","Model 23.2",1977,9,1.12912,0.956378851789737
"Fishery","Model 23.2",1977,10,1.14431,0.969244972980298
"Fishery","Model 23.2",1977,11,1.14975,0.973852721451441
"Fishery","Model 23.2",1977,12,1.14886,0.97309888024936
"Fishery","Model 23.2",1977,13,1.14886,0.97309888024936
"Fishery","Model 23.2",1977,14,1.14886,0.97309888024936
"Fishery","Model 23.2",1977,15,1.14886,0.97309888024936
"Fishery","Model 23.2",1978,1,0.00761976,0.00637572796037218
"Fishery","Model 23.2",1978,2,0.22134,0.185203159515362
"Fishery","Model 23.2",1978,3,0.842311,0.70479198741549
"Fishery","Model 23.2",1978,4,1.05178,0.880062253162862
"Fishery","Model 23.2",1978,5,1.15839,0.969266684517036
"Fishery","Model 23.2",1978,6,1.13821,0.952381350826695
"Fishery","Model 23.2",1978,7,1.13691,0.951293593948725
"Fishery","Model 23.2",1978,8,1.13481,0.949536448222773
"Fishery","Model 23.2",1978,9,1.15408,0.965660352098534
"Fishery","Model 23.2",1978,10,1.18027,0.987574469509338
"Fishery","Model 23.2",1978,11,1.19512,1
"Fishery","Model 23.2",1978,12,1.19479,0.999723877100208
"Fishery","Model 23.2",1978,13,1.19479,0.999723877100208
"Fishery","Model 23.2",1978,14,1.19479,0.999723877100208
"Fishery","Model 23.2",1978,15,1.19479,0.999723877100208
"Fishery","Model 23.2",1979,1,0.00593198,0.00485960988637388
"Fishery","Model 23.2",1979,2,0.139909,0.114616563035055
"Fishery","Model 23.2",1979,3,0.657321,0.538491975718253
"Fishery","Model 23.2",1979,4,0.934121,0.765252689096971
"Fishery","Model 23.2",1979,5,1.18502,0.970794727485725
"Fishery","Model 23.2",1979,6,1.19798,0.981411847591896
"Fishery","Model 23.2",1979,7,1.1795,0.966272620773837
"Fishery","Model 23.2",1979,8,1.1792,0.966026854104713
"Fishery","Model 23.2",1979,9,1.20685,0.988678348775672
"Fishery","Model 23.2",1979,10,1.21593,0.996116886627836
"Fishery","Model 23.2",1979,11,1.22067,1
"Fishery","Model 23.2",1979,12,1.21939,0.99895139554507
"Fishery","Model 23.2",1979,13,1.21939,0.99895139554507
"Fishery","Model 23.2",1979,14,1.21939,0.99895139554507
"Fishery","Model 23.2",1979,15,1.21939,0.99895139554507
"Fishery","Model 23.2",1980,1,0.00457373,0.00361000347287996
"Fishery","Model 23.2",1980,2,0.0795679,0.0628022194860138
"Fishery","Model 23.2",1980,3,0.463989,0.366222295889373
"Fishery","Model 23.2",1980,4,0.922925,0.728456304855718
"Fishery","Model 23.2",1980,5,1.22003,0.962958578013513
"Fishery","Model 23.2",1980,6,1.26696,1
"Fishery","Model 23.2",1980,7,1.24437,0.982169918545179
"Fishery","Model 23.2",1980,8,1.22987,0.970725200479889
"Fishery","Model 23.2",1980,9,1.22763,0.968957188861527
"Fishery","Model 23.2",1980,10,1.22787,0.96914661867778
"Fishery","Model 23.2",1980,11,1.22654,0.968096861779377
"Fishery","Model 23.2",1980,12,1.22142,0.964055692365978
"Fishery","Model 23.2",1980,13,1.22142,0.964055692365978
"Fishery","Model 23.2",1980,14,1.22142,0.964055692365978
"Fishery","Model 23.2",1980,15,1.22142,0.964055692365978
"Fishery","Model 23.2",1981,1,0.00371167,0.00287185379478966
"Fishery","Model 23.2",1981,2,0.0578306,0.0447456341929544
"Fishery","Model 23.2",1981,3,0.333451,0.258003141369358
"Fishery","Model 23.2",1981,4,0.865749,0.66986142382953
"Fishery","Model 23.2",1981,5,1.29243,1
"Fishery","Model 23.2",1981,6,1.28658,0.995473642673104
"Fishery","Model 23.2",1981,7,1.27178,0.984022345504205
"Fishery","Model 23.2",1981,8,1.26048,0.975279125368492
"Fishery","Model 23.2",1981,9,1.24966,0.966907298654473
"Fishery","Model 23.2",1981,10,1.24021,0.959595490664872
"Fishery","Model 23.2",1981,11,1.23271,0.953792468450903
"Fishery","Model 23.2",1981,12,1.22635,0.948871505613457
"Fishery","Model 23.2",1981,13,1.22635,0.948871505613457
"Fishery","Model 23.2",1981,14,1.22635,0.948871505613457
"Fishery","Model 23.2",1981,15,1.22635,0.948871505613457
"Fishery","Model 23.2",1982,1,0.00315869,0.00241292673424645
"Fishery","Model 23.2",1982,2,0.0501345,0.0382977992009595
"Fishery","Model 23.2",1982,3,0.234726,0.179307447271727
"Fishery","Model 23.2",1982,4,0.809885,0.618672034344993
"Fishery","Model 23.2",1982,5,1.30433,0.996379108832988
"Fishery","Model 23.2",1982,6,1.30907,1
"Fishery","Model 23.2",1982,7,1.29174,0.986761594108795
"Fishery","Model 23.2",1982,8,1.28328,0.98029899088666
"Fishery","Model 23.2",1982,9,1.27074,0.970719671216971
"Fishery","Model 23.2",1982,10,1.25606,0.959505603214496
"Fishery","Model 23.2",1982,11,1.24436,0.95056796046048
"Fishery","Model 23.2",1982,12,1.23563,0.943899103944021
"Fishery","Model 23.2",1982,13,1.23563,0.943899103944021
"Fishery","Model 23.2",1982,14,1.23563,0.943899103944021
"Fishery","Model 23.2",1982,15,1.23563,0.943899103944021
"Fishery","Model 23.2",1983,1,0.00269962,0.00198774785918874
"Fishery","Model 23.2",1983,2,0.0540712,0.0398129781390589
"Fishery","Model 23.2",1983,3,0.208171,0.153277668558974
"Fishery","Model 23.2",1983,4,0.655631,0.482745392561831
"Fishery","Model 23.2",1983,5,1.1826,0.870756113185041
"Fishery","Model 23.2",1983,6,1.35813,1
"Fishery","Model 23.2",1983,7,1.32382,0.974737322642162
"Fishery","Model 23.2",1983,8,1.30742,0.962661895400293
"Fishery","Model 23.2",1983,9,1.29562,0.95397347823846
"Fishery","Model 23.2",1983,10,1.28384,0.94529978720741
"Fishery","Model 23.2",1983,11,1.27276,0.937141510753757
"Fishery","Model 23.2",1983,12,1.26381,0.930551567228469
"Fishery","Model 23.2",1983,13,1.26381,0.930551567228469
"Fishery","Model 23.2",1983,14,1.26381,0.930551567228469
"Fishery","Model 23.2",1983,15,1.26381,0.930551567228469
"Fishery","Model 23.2",1984,1,0.00233304,0.00171460068053708
"Fishery","Model 23.2",1984,2,0.045,0.0330714563934474
"Fishery","Model 23.2",1984,3,0.21213,0.155898845438711
"Fishery","Model 23.2",1984,4,0.585694,0.430438968464529
"Fishery","Model 23.2",1984,5,1.18325,0.869595572834371
"Fishery","Model 23.2",1984,6,1.36069,1
"Fishery","Model 23.2",1984,7,1.34574,0.989012927264844
"Fishery","Model 23.2",1984,8,1.3166,0.967597321946953
"Fishery","Model 23.2",1984,9,1.30197,0.956845424012817
"Fishery","Model 23.2",1984,10,1.28883,0.94718855874593
"Fishery","Model 23.2",1984,11,1.27851,0.939604171413033
"Fishery","Model 23.2",1984,12,1.26981,0.9332103565103
"Fishery","Model 23.2",1984,13,1.26981,0.9332103565103
"Fishery","Model 23.2",1984,14,1.26981,0.9332103565103
"Fishery","Model 23.2",1984,15,1.26981,0.9332103565103
"Fishery","Model 23.2",1985,1,0.0020141,0.00141876994385782
"Fishery","Model 23.2",1985,2,0.0461128,0.0324827241284578
"Fishery","Model 23.2",1985,3,0.237601,0.167370615873374
"Fishery","Model 23.2",1985,4,0.524714,0.369618416325611
"Fishery","Model 23.2",1985,5,0.914148,0.643943054782652
"Fishery","Model 23.2",1985,6,1.41961,1
"Fishery","Model 23.2",1985,7,1.39754,0.984453476659082
"Fishery","Model 23.2",1985,8,1.36347,0.960453927487127
"Fishery","Model 23.2",1985,9,1.32718,0.934890568536429
