"Scenario","Year","Quantity","Value","Reference_value","Percent_change"
"Model 26.0 base",2004,"Age-1 recruitment",6566.0983939321,6566.0983939321,0
"Model 26.0 base",2004,"Fishing mortality",0.204084754120519,0.204084754120519,0
"Model 26.0 base",2005,"Spawning biomass",2661.48297546401,2661.48297546401,0
"Model 26.0 base",2005,"Total biomass",8227.47339419666,8227.47339419666,0
"Model 26.0 base",2005,"Age-1 recruitment",4652.85254025238,4652.85254025238,0
"Model 26.0 base",2005,"Fishing mortality",0.194058638406898,0.194058638406898,0
"Model 26.0 base",2006,"Spawning biomass",2435.75481035212,2435.75481035212,0
"Model 26.0 base",2006,"Total biomass",6946.60680039035,6946.60680039035,0
"Model 26.0 base",2006,"Age-1 recruitment",11590.9403859681,11590.9403859681,0
"Model 26.0 base",2006,"Fishing mortality",0.238701434656303,0.238701434656303,0
"Model 26.0 base",2007,"Spawning biomass",2003.04811548541,2003.04811548541,0
"Model 26.0 base",2007,"Total biomass",6366.18719013696,6366.18719013696,0
"Model 26.0 base",2007,"Age-1 recruitment",25036.384447938,25036.384447938,0
"Model 26.0 base",2007,"Fishing mortality",0.256168429414185,0.256168429414185,0
"Model 26.0 base",2008,"Spawning biomass",1538.33435637908,1538.33435637908,0
"Model 26.0 base",2008,"Total biomass",5045.03950984578,5045.03950984578,0
"Model 26.0 base",2008,"Age-1 recruitment",13590.6800784302,13590.6800784302,0
"Model 26.0 base",2008,"Fishing mortality",0.278972260041632,0.278972260041632,0
"Model 26.0 base",2009,"Spawning biomass",1629.00565520213,1629.00565520213,0
"Model 26.0 base",2009,"Total biomass",6013.19817972243,6013.19817972243,0
"Model 26.0 base",2009,"Age-1 recruitment",49683.6589781433,49683.6589781433,0
"Model 26.0 base",2009,"Fishing mortality",0.266386687175334,0.266386687175334,0
"Model 26.0 base",2010,"Spawning biomass",1665.02429159893,1665.02429159893,0
"Model 26.0 base",2010,"Total biomass",7935.48309294927,7935.48309294927,0
"Model 26.0 base",2010,"Age-1 recruitment",23227.9455101692,23227.9455101692,0
"Model 26.0 base",2010,"Fishing mortality",0.221648556767361,0.221648556767361,0
"Model 26.0 base",2011,"Spawning biomass",2039.95268166221,2039.95268166221,0
"Model 26.0 base",2011,"Total biomass",8760.74784947201,8760.74784947201,0
"Model 26.0 base",2011,"Age-1 recruitment",14247.958464785,14247.958464785,0
"Model 26.0 base",2011,"Fishing mortality",0.300409046119624,0.300409046119624,0
"Model 26.0 base",2012,"Spawning biomass",2487.27981059655,2487.27981059655,0
"Model 26.0 base",2012,"Total biomass",8893.49778610239,8893.49778610239,0
"Model 26.0 base",2012,"Age-1 recruitment",12316.7753550143,12316.7753550143,0
