"Model","Fleet","Year","Observation","Lower95","Upper95","Predicted"
"Model","ATS age-1 index",2018,449.9560697,63.3823841663933,3194.27025856847,693.137229158377
"Model","ATS age-1 index",2020,350,49.3022229326261,2484.67498448096,841.713217469202
"Model","ATS age-1 index",2022,141.5599371,19.9406273635221,1004.9440986202,427.57298144923
"Model","Historical CPUE",1965,2816.437428,1712.41424328188,3920.46061271812,3306.42631556435
"Model","Historical CPUE",1966,3473.580475,2111.96194931969,4835.19900068031,3565.03481350568
"Model","Historical CPUE",1967,3802.169891,2311.74668130348,5292.59310069652,4068.00603536205
"Model","Historical CPUE",1968,5257.304601,3196.47906664865,7318.13013535135,4926.23239157348
"Model","Historical CPUE",1969,6712.468418,4081.2291478875,9343.7076881125,5684.41842022685
"Model","Historical CPUE",1970,5679.809828,3453.36528683269,7906.25436916731,5857.76847672459
"Model","Historical CPUE",1971,5257.331283,3196.49528832086,7318.16727767914,5902.2886311119
"Model","Historical CPUE",1972,5726.743484,3481.90128814012,7971.58567985988,5711.93316580258
"Model","Historical CPUE",1973,4787.923949,2911.09224884864,6664.75564915136,4804.41830788861
"Model","Historical CPUE",1974,4740.992588,2882.55764330973,6599.42753269027,4055.13814511131
"Model","Historical CPUE",1975,4271.57446,2597.14804041977,5946.00087958023,4050.47433254521
"Model","Historical CPUE",1976,4318.523058,2625.69312598284,6011.35299001716,3743.26946774194
